annotation_dataset	contig	gene	start_position	end_position	strandedness	AMG	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags	AMG_gene_id	AMG_gene_description	AMG_category	AMG_header	AMG_subheader	AMG_module	ARAGORN_tRNA_count	ARAGORN_tRNA_species
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_1	1	708	-		C	fau:Fraau_0972		fau:Fraau_0972  putative transcriptional regulator	False	0.439	186.0	4.157e-50	YP_001700549.1	YP_001700549.1 putative transcriptional regulator (repressor) [Salmonella phage Fels-1]	False	0.428	102.0	2.561e-23	MER0149516	S24	MER0149516 - family S24 unassigned peptidases (Frateuria aurantia) [S24.UPW]#S24#{peptidase unit: 100-223}~source YP_005377118~	False	0.514	119.0	1.534e-28	Peptidase S24-like [PF00717.26]			VOG01383	sp|P03034|RPC1_LAMBD Repressor protein cI; Xp	Xp	0.0	1.0	5.0	False	PF								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_2	786	1022	+		D																					DNA-binding transcriptional regulator Cro [PF14549.9]						0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_3	1130	1732	+		C	xfh:XFHB_04625		xfh:XFHB_04625  hypothetical protein	False	0.377	123.0	9.049e-29																				0.0	1.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_4	1729	2055	+		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_5	2052	2438	+		C	psu:Psesu_1145		psu:Psesu_1145  hypothetical protein	False	0.439	66.0	1.424e-10																				0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_6	2438	3439	+		C	fau:Fraau_1958		fau:Fraau_1958  hypothetical protein	False	0.361	176.0	4.477e-45														Protein of unknown function (DUF1376) [PF07120.14]						0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_7	3402	4016	+		C	smt:Smal_2515		smt:Smal_2515  hypothetical protein	False	0.524	198.0	6.909e-55														Replication protein P [PF06992.14]						0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_8	4003	4533	+		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_9	4533	5042	+		C	nii:Nit79A3_1416		nii:Nit79A3_1416  hypothetical protein	False	0.584	139.0	5.125e-35	YP_009043885.1	YP_009043885.1 hypothetical protein SBVcX29_0014 [Vibrio phage X29]	False	0.549	115.0	1.277e-28								Protein of unknown function (DUF1064) [PF06356.14]						0.0	1.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_10	5039	5833	+		C	bcep:APZ15_30990		bcep:APZ15_30990  hypothetical protein	False	0.438	203.0	1.3099999999999997e-55	YP_010078218.1	YP_010078218.1 hypothetical protein KMC44_gp60 [Ralstonia phage Cimandef]	False	0.348	136.0	1.2430000000000001e-34								KilA-N domain [PF04383.16]; Phage antirepressor protein KilAC domain [PF03374.17]			VOG00814	sp|P03037|RANT_BPP22 Antirepressor protein ant; Xu	Xu	0.0	1.0	2.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_11	5830	6327	+		E																											0.0	1.0	2.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_12	6327	7091	+		C	stem:CLM74_18770		stem:CLM74_18770  hypothetical protein	False	0.761	267.0	9.611e-78																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_13	7157	8050	+		C	stem:CLM74_18765		stem:CLM74_18765  hypothetical protein	False	0.423	214.0	1.335e-58																				0.0	2.0	2.0	False									
tRNA	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_tRNA_1-1	8301	8376																																									1-1	tRNA-Gly(tcc)
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_14	8717	9481	+		C	glo:Glov_2979		glo:Glov_2979  D12 class N6 adenine-specific DNA methyltransferase	False	0.632	316.0	1.0849999999999999e-94	NP_945057.1	NP_945057.1 DNA adenine methylase [Burkholderia phage phi1026b]	False	0.626	304.0	1.596e-92								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]			VOG00163	sp|P12427|DMA_BPT2 DNA adenine methylase; XhXpXr	Xp;Xr;Xh	0.0	1.0	2.0	False	V								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_15	9580	10092	+		C	xga:BI317_15855		xga:BI317_15855  lysozyme	False	0.772	267.0	3.17e-79	YP_009877133.1	YP_009877133.1 Phage lysin, 1,4-beta-N-acetylmuramidase (EC or lysozyme #Protein S in phage lambda [Escherichia virus P2-2H4]	False	0.627	196.0	1.227e-56									GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)				0.0	0.0	2.0	False	A								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_16	10089	10544	+		E								YP_007392896.1	YP_007392896.1 hypothetical protein H390_gp07 [Xanthomonas citri phage CP2]	False	0.321	77.0	5.745e-16														0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_17	10541	11023	+		C	xga:BI317_09845		xga:BI317_09845  hypothetical protein	False	0.366	102.0	1.8019999999999998e-22	YP_009801014.1	YP_009801014.1 hypothetical protein HOT16_gp38 [Xanthomonas phage Carpasina]	False	0.269	64.0	1.655e-11											VOG10716	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_18	11079	11282	+		E								YP_010052576.1	YP_010052576.1 hypothetical protein KEM13_gp18 [Xanthomonas phage KPhi1]	False	0.61	78.0	9.15e-18											VOG24418	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_19	11279	11566	+		C	xve:BJD12_18385		xve:BJD12_18385  hypothetical protein	False	0.576	78.0	2.887e-15	YP_007392898.1	YP_007392898.1 hypothetical protein H390_gp09 [Xanthomonas citri phage CP2]	False	0.445	74.0	8.008e-16											VOG10717	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_20	11760	12263	+		C	halo:BWR19_15880		halo:BWR19_15880  terminase small subunit	False	0.458	128.0	2.314e-31	YP_001700674.1	YP_001700674.1 bacteriophage DNA packaging protein; terminase, small subunit [Phage Gifsy-2]	False	0.324	76.0	3.411e-15								Protein of unknown function (DUF1441) [PF07278.14]			VOG00219	sp|P03707|TERS_LAMBD Terminase small subunit; XhXr	Xr;Xh	0.0	1.0	1.0	False	V								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_21	12238	14325	+		C	efe:EFER_2696		efe:EFER_2696  putative DNA packaging protein of prophage (terminase large subunit)	False	0.456	547.0	1.1450000000000001e-166	YP_001700563.1	YP_001700563.1 bacteriophage terminase, large subunit [Salmonella phage Fels-1]	False	0.453	535.0	8.281e-165								Terminase large subunit gpA, endonuclease domain [PF20454.1]; Phage terminase large subunit gpA, ATPase domain [PF05876.15]			VOG03476	sp|P36693|TERL_BPP21 Terminase, large subunit; XhXr	Xr;Xh	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_22	14327	14542	+		E																								VOG22053	REFSEQ head-tail connector; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_23	14535	16016	+		C	pbm:CL52_16525		pbm:CL52_16525  portal protein	False	0.496	424.0	6.496000000000001e-128	YP_004934603.1	YP_004934603.1 lambda-like phage portal protein [Synechococcus phage S-CBS1]	False	0.293	185.0	1.775e-48								Phage portal protein, lambda family [PF05136.16]			VOG00946	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xp;Xr;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_24	16006	17367	+		C	tcx:Tcr_0680		tcx:Tcr_0680  protein C. Serine peptidase. MEROPS family S49	False	0.46	232.0	1.135e-62	YP_009997632.1	YP_009997632.1 putative signal peptide peptidase A [Klebsiella phage YMC16/01/N133_KPN_BP]	False	0.338	153.0	4.138e-38	MER0232577	S49B	MER0232577 - protein C (bacteriophage lambda) (Stenotrophomonas sp. SKA14) [S49.003]#S49B#{peptidase unit: 95-270}~source EED37537~	False	0.947	352.0	3.139e-105	Peptidase family S49 [PF01343.21]			VOG06264	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xh;Xs	0.0	0.0	1.0	False	VP								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_25	17370	18059	+		C	xca:xcc-b100_3325		xca:xcc-b100_3325  hypothetical protein in prophage island	False	0.536	232.0	3.511e-66														Bacteriophage lambda head decoration protein D [PF02924.17]						0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_26	18147	19148	+		C	jab:VN23_12845		jab:VN23_12845  major capsid protein E	False	0.449	260.0	4.799e-74	YP_009823120.1	YP_009823120.1 major capsid protein [Rheinheimera phage vB_RspM_Barba19A]	False	0.238	102.0	2.5879999999999997e-22								Phage major capsid protein E [PF03864.18]			VOG00599	sp|D6RRG1|CAPSD_BPKPP Major capsid protein; XhXs	Xh;Xs	0.0	2.0	1.0	False	V								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_27	19194	19952	+		C	xga:BI317_09855		xga:BI317_09855  hypothetical protein	False	0.611	323.0	2.507e-97																	VOG15629	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_28	19949	20281	+		C	xga:BI317_09860		xga:BI317_09860  hypothetical protein	False	0.445	87.0	7.189e-18																				0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_29	20274	20729	+		C	xga:BI317_09865		xga:BI317_09865  hypothetical protein	False	0.532	146.0	8.276e-38																				0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_30	20766	21521	+		C	xfh:XFHB_02140		xfh:XFHB_02140  hypothetical protein	False	0.51	229.0	1.482e-64	YP_009103732.1	YP_009103732.1 major tail protein [Shewanella sp. phage 1/44]	False	0.253	87.0	3.309e-18											VOG00553	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_31	21525	21935	+		C	xve:BJD12_18410		xve:BJD12_18410  hypothetical protein	False	0.409	99.0	1.192e-21																				0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_32	22164	24944	+		C	xve:BJD12_18415		xve:BJD12_18415  tail length tape measure protein	False	0.347	516.0	9.208e-153	YP_002922630.1	YP_002922630.1 P16 [Xanthomonas phage phiL7]	False	0.315	424.0	8.862e-124								Prophage tail length tape measure protein [PF06791.16]; Lambda phage tail tape-measure protein (Tape_meas_lam_C) [PF09718.13]			VOG01399	sp|Q6XQC4|TMP_BPT1 Tape measure protein; XpXrXs	Xp;Xr;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_33	24944	25300	+		C	xve:BJD12_18420		xve:BJD12_18420  hypothetical protein	False	0.459	101.0	1.159e-22	YP_002922631.1	YP_002922631.1 P17 [Xanthomonas phage phiL7]	False	0.405	86.0	1.609e-19														0.0	1.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_34	25297	25758	+		C	smz:SMD_3017		smz:SMD_3017  Phage protein	False	0.763	240.0	3.001e-70	YP_002922632.1	YP_002922632.1 P18 [Xanthomonas phage phiL7]	False	0.546	159.0	2.315e-44								Domain of unknown function (DUF1833) [PF08875.14]			VOG00961	REFSEQ DUF1833 family protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_35	26143	33150	+		C	sten:CCR98_14895		sten:CCR98_14895  phage tail protein	False	0.405	1915.0	0.0	YP_007238093.1	YP_007238093.1 putative tail component protein [Xanthomonas virus CP1]	False	0.498	1235.0	0.0											VOG00739	REFSEQ hypothetical protein; Xu	Xu	0.0	0.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_36	33205	33504	+		C	smt:Smal_2487		smt:Smal_2487  hypothetical protein	False	0.406	72.0	5.46e-13																				0.0	1.0	2.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_37	33449	34192	+		E																											0.0	1.0	4.0	False	F								
DRAMv	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640	Sample_17_contig_1_4_partial_1__excised_start_1_end_35173_len_52640_38	34211	35173	+		C	sml:Smlt1978		sml:Smlt1978  conserved hypothetical protein	False	0.947	618.0	3.451e-198														SOS response associated peptidase (SRAP) [PF02586.17]						0.0	2.0	5.0	False	F								
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_1	264	2741	-		C	nii:Nit79A3_2640		nii:Nit79A3_2640  hypothetical protein	False	0.435	603.0	7.68e-184														SIR2-like domain [PF13289.9]						0.0	2.0	5.0	False	F								
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_2	3312	3656	-		C	sml:Smlt0328		sml:Smlt0328  hypothetical protein	False	0.794	188.0	6.082999999999999e-53																				0.0	2.0	4.0	False	F								
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_3	3860	4792	-		C	sml:Smlt1978		sml:Smlt1978  conserved hypothetical protein	False	0.931	607.0	2.015e-194														SOS response associated peptidase (SRAP) [PF02586.17]						0.0	2.0	4.0	False	F								
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_4	4878	5414	+		E																											0.0	2.0	4.0	False	F								
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_5	5472	6263	-		C	xve:BJD12_18455		xve:BJD12_18455  restriction endonuclease subunit M	False	0.827	450.0	6.773e-141	NP_945057.1	NP_945057.1 DNA adenine methylase [Burkholderia phage phi1026b]	False	0.703	365.0	1.103e-113								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]			VOG00163	sp|P12427|DMA_BPT2 DNA adenine methylase; XhXpXr	Xp;Xr;Xh	0.0	1.0	4.0	False	V								
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_6	6411	6644	-		C	sml:Smlt1659		sml:Smlt1659  conserved hypothetical protein	False	0.809	130.0	8.442e-34																	VOG04743	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_7	6634	7659	-		C	smz:SMD_1617		smz:SMD_1617  hypothetical protein	False	0.834	588.0	2.2879999999999998e-187	YP_010091597.1	YP_010091597.1 hypothetical protein KNT69_gp23 [uncultured Caudovirales phage]	False	0.274	111.0	3.033e-25											VOG04635	REFSEQ putative tail protein c; Xu	Xu	0.0	0.0	2.0	False									
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_8	8448	8765	-		E																											0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_9	8762	9757	-		C	bpq:BPC006_II0564		bpq:BPC006_II0564  hypothetical protein	False	0.295	150.0	2.2060000000000002e-36	YP_009997487.1	YP_009997487.1 hypothetical protein JT315_gp22 [Xylella phage Bacata]	False	0.264	120.0	2.338e-28											VOG03021	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_10	9764	13363	-		C	smz:SMD_1616		smz:SMD_1616  hypothetical protein	False	0.808	1984.0	0.0	YP_010091594.1	YP_010091594.1 hypothetical protein KNT69_gp20 [uncultured Caudovirales phage]	False	0.312	563.0	3.288e-167											VOG14331	REFSEQ hypothetical protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_11	13367	13783	-		C	pcq:PcP3B5_40870		pcq:PcP3B5_40870  hypothetical protein	False	0.364	85.0	1.082e-16	YP_010091593.1	YP_010091593.1 hypothetical protein KNT69_gp19 [uncultured Caudovirales phage]	False	0.288	60.0	2.565e-10											VOG14330	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211	Sample_17_contig_1_fragment_11_1__excised_start_4912_end_46211_len_46211_12	13783	16062	-		C	smz:SMD_1615		smz:SMD_1615  hypothetical protein	False	0.661	990.0	1.53e-318																	VOG01190	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
